ymd,month,Chla,DOC
2022/9/2,2022_09,13.254,3.350629
2022/9/9,2022_09,16.4808,3.305681
2022/9/12,2022_09,8.7738,3.719914
2022/9/22,2022_09,29.4144,3.159743
2022/9/28,2022_09,8.978,3.058593
2022/10/3,2022_10,6.578,3.136756
2022/10/6,2022_10,7.467,2.966836
2022/10/12,2022_10,14.045,3.130526
2022/10/14,2022_10,11.067,2.999121
2022/10/20,2022_10,8.667,2.912178
2022/10/23,2022_10,6.578,3.171307
2022/10/28,2022_10,8.667,2.997138
2022/11/2,2022_11,5.378,2.974766
2022/11/7,2022_11,5.067,3.043017
2022/11/10,2022_11,8.667,3.027441
2022/11/17,2022_11,5.378,3.070487
2022/11/23,2022_11,5.689,3.075868
2022/11/27,2022_11,10.16333333,3.134491
2022/12/1,2022_12,9.363333333,3.155731
2022/12/8,2022_12,4.489,3.115138
2022/12/16,2022_12,2.8445,3.053545
2022/12/19,2022_12,4.61125,3.032737
2022/12/26,2022_12,8.352083333,2.990564
2023/1/4,2023_01,7.481666667,3.043279
2023/1/13,2023_01,5.11125,3.026355
2023/1/18,2023_01,4.240833333,3.050771
2023/1/27,2023_01,5.11125,2.95949
2023/2/2,2023_02,7.61125,2.958935
2023/2/10,2023_02,7.481666667,2.978912
2023/2/15,2023_02,6.61125,3.050771
2023/2/23,2023_02,5.61125,3.09433
2023/3/1,2023_03,2.870416667,3.253307
2023/3/9,2023_03,2.5,3.186997
2023/3/13,2023_03,2.870416667,3.201425
2023/3/21,2023_03,6.11125,3.0311
2023/3/29,2023_03,1,3.158096
2023/4/6,2023_04,4.981666667,3.061903
2023/4/14,2023_04,8.2225,3.180523
2023/4/19,2023_04,2.870416667,3.087302
2023/5/4,2023_05,1.129583333,3.219162
2023/5/12,2023_05,,3.324002
2023/5/18,2023_05,1.5,3.227539
2023/5/25,2023_05,2,3.199167
2023/5/30,2023_05,1.629583333,3.060282
2023/6/8,2023_06,3.870416667,3.324272
2023/6/13,2023_06,2.4,3.219162
2023/6/29,2023_06,2.5,3.07082
2023/7/6,2023_07,3.740833333,2.993271
2023/7/10,2023_07,10.7225,2.940581
2023/7/20,2023_07,3,3.001688
2023/8/4,2023_08,4,2.892559
2023/8/11,2023_08,7.481666667,2.919156
2023/8/17,2023_08,14.96333333,3.017043
2023/8/25,2023_08,6.740833333,3.057349
2023/8/28,2023_08,4.740833333,3.115752
