year_month,interval,max,min
2022_09_11,1,0.003599577,-0.003599577
2022_09_11,2,0.008433425,-0.005695473
2022_09_11,3,0.01552549,-0.013885086
2022_09_11,4,0.019216696,-0.019499058
2022_09_11,6,0.042968549,-0.040863915
2022_09_11,8,0.078198619,-0.088189298
2022_09_11,12,0.188062929,-0.152334054
2022_09_11,24,0.62282898,-0.347415899
2022_12_2023_02,1,0.002234346,-0.002234346
2022_12_2023_02,2,0.003375173,-0.00237078
2022_12_2023_02,3,0.013394733,-0.006600415
2022_12_2023_02,4,0.00944727,-0.017143143
2022_12_2023_02,6,0.033680024,-0.041513973
2022_12_2023_02,8,0.042648298,-0.054408202
2022_12_2023_02,12,0.099064448,-0.079178187
2022_12_2023_02,24,0.294993795,-0.186929756
2023_03_05,1,0.001454966,-0.001454966
2023_03_05,2,0.00314592,-0.006055852
2023_03_05,3,0.015733783,-0.013427697
2023_03_05,4,0.017341698,-0.009092858
2023_03_05,6,0.038552509,-0.023899755
2023_03_05,8,0.034502378,-0.029503538
2023_03_05,12,0.080078176,-0.0792726
2023_03_05,24,0.257973487,-0.269981064
2023_06_08,1,0.002713989,-0.002713989
2023_06_08,2,0.00338922,-0.00307547
2023_06_08,3,0.016134302,-0.006407782
2023_06_08,4,0.030349011,-0.013660186
2023_06_08,6,0.025583245,-0.027460041
2023_06_08,8,0.056833128,-0.034523519
2023_06_08,12,0.132880768,-0.109549718
2023_06_08,24,0.603903357,-0.426845435
